city,scf,zip_code
CHARLOTTESVILLE,228,228xx
CHARLOTTESVILLE,229,229xx
RICHMOND,230,230xx
RICHMOND,231,231xx
RICHMOND,232,232xx
NORFOLK,233,233xx
NORFOLK,234,234xx
NORFOLK,235,235xx
NORFOLK,236,236xx
NORFOLK,237,237xx
RICHMOND,238,238xx
FARMVILLE,239,239xx
ROANOKE,240,240xx
ROANOKE,241,241xx
BRISTOL,242,242xx
ROANOKE,243,243xx
CHARLOTTESVILLE,244,244xx
LYNCHBURG,245,245xx
BLUEFIELD,246,246xx
BLUEFIELD,247,247xx
BLUEFIELD,248,248xx
LEWISBURG,249,249xx
CHARLESTON,250,250xx
CHARLESTON,251,251xx
CHARLESTON,252,252xx
CHARLESTON,253,253xx
MARTINSBURG,254,254xx
HUNTINGTON,255,255xx
HUNTINGTON,256,256xx
HUNTINGTON,257,257xx
BECKLEY,258,258xx
BECKLEY,259,259xx
WHEELING,260,260xx
PARKERSBURG,261,261xx
CLARKSBURG,262,262xx
CLARKSBURG,263,263xx
CLARKSBURG,264,264xx
CLARKSBURG,265,265xx
GASSAWAY,266,266xx
CUMBERLAND,267,267xx
PETERSBURG,268,268xx
GREENSBORO,270,270xx
GREENSBORO,271,271xx
GREENSBORO,272,272xx
GREENSBORO,273,273xx
GREENSBORO,274,274xx
RALEIGH,275,275xx
RALEIGH,276,276xx
RALEIGH,277,277xx
ROCKY MOUNT,278,278xx
ROCKY MOUNT,279,279xx
CHARLOTTE,280,280xx
CHARLOTTE,281,281xx
CHARLOTTE,282,282xx
FAYETTEVILLE,283,283xx
FAYETTEVILLE,284,284xx
KINSTON,285,285xx
HICKORY,286,286xx
ASHEVILLE,287,287xx
ASHEVILLE,288,288xx
ASHEVILLE,289,289xx
WEST COLUMBIA,290,290xx
WEST COLUMBIA,291,291xx
WEST COLUMBIA,292,292xx
GREENVILLE,293,293xx
NORTH CHARLESTON,294,294xx
FLORENCE,295,295xx
GREENVILLE,296,296xx
CHARLOTTE,297,297xx
